vaucher,site,lat,lon,bio3,bio6,bio4,bio11,bio5,bio1,bio10,elevate,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio8,bio9,bio2,bio7
"107716","Boceguillas, Segovia, ES",41.336950000000002,-3.638880000000000,36.00000,-8.00000,6243.00000,35.00000,275.00000,110.00000,194.00000,152.00000,483.00000,55.00000,17.00000,27.00000,147.00000,73.00000,81.00000,125.00000,72.00000,193.00000,104.00000,283.00000
"107717","Boceguillas, Segovia, ES",41.336950000000002,-3.638880000000000,36.00000,-8.00000,6243.00000,35.00000,275.00000,110.00000,194.00000,152.00000,483.00000,55.00000,17.00000,27.00000,147.00000,73.00000,81.00000,125.00000,72.00000,193.00000,104.00000,283.00000
"107740","La Porroquia, Lorca, Murcia, ES",37.728250000000003,-1.894590000000000,39.00000,31.00000,5843.00000,86.00000,312.00000,156.00000,235.00000,153.00000,353.00000,45.00000,6.00000,40.00000,119.00000,34.00000,41.00000,98.00000,124.00000,233.00000,111.00000,281.00000
"107741","La Porroquia, Lorca, Murcia, ES",37.728250000000003,-1.894590000000000,39.00000,31.00000,5843.00000,86.00000,312.00000,156.00000,235.00000,153.00000,353.00000,45.00000,6.00000,40.00000,119.00000,34.00000,41.00000,98.00000,124.00000,233.00000,111.00000,281.00000
"107742","La Porroquia, Lorca, Murcia, ES",37.728250000000003,-1.894590000000000,39.00000,31.00000,5843.00000,86.00000,312.00000,156.00000,235.00000,153.00000,353.00000,45.00000,6.00000,40.00000,119.00000,34.00000,41.00000,98.00000,124.00000,233.00000,111.00000,281.00000
"107750","Benalup-Casas Viejas, Cádiz, ES",36.343179999999997,-5.816640000000000,37.00000,78.00000,4349.00000,118.00000,277.00000,172.00000,230.00000,116.00000,770.00000,131.00000,1.00000,72.00000,352.00000,16.00000,23.00000,337.00000,126.00000,226.00000,75.00000,199.00000
"109024","Gárgoles, Cifuentes, Guadalajara, ES",40.732329999999997,-2.625750000000000,37.00000,-6.00000,6474.00000,42.00000,291.00000,120.00000,206.00000,172.00000,442.00000,54.00000,17.00000,27.00000,136.00000,72.00000,75.00000,108.00000,105.00000,206.00000,111.00000,297.00000
"9052","Pontevedra, As Neves, Arbo",42.102443000000001,-8.453417999999999,40.00000,56.00000,4203.00000,92.00000,258.00000,145.00000,199.00000,255.00000,1301.00000,199.00000,23.00000,49.00000,516.00000,106.00000,123.00000,502.00000,99.00000,199.00000,82.00000,202.00000
"9053","Pontevedra, As Neves, Arbo",42.102443000000001,-8.453417999999999,40.00000,56.00000,4203.00000,92.00000,258.00000,145.00000,199.00000,255.00000,1301.00000,199.00000,23.00000,49.00000,516.00000,106.00000,123.00000,502.00000,99.00000,199.00000,82.00000,202.00000
"9054","Pontevedra, As Neves, Arbo",42.102443000000001,-8.453417999999999,40.00000,56.00000,4203.00000,92.00000,258.00000,145.00000,199.00000,255.00000,1301.00000,199.00000,23.00000,49.00000,516.00000,106.00000,123.00000,502.00000,99.00000,199.00000,82.00000,202.00000
"9055","Pontevedra, As Neves, Arbo",42.102443000000001,-8.453417999999999,40.00000,56.00000,4203.00000,92.00000,258.00000,145.00000,199.00000,255.00000,1301.00000,199.00000,23.00000,49.00000,516.00000,106.00000,123.00000,502.00000,99.00000,199.00000,82.00000,202.00000
"9056","Pontevedra, As Neves, Arbo",42.102443000000001,-8.453417999999999,40.00000,56.00000,4203.00000,92.00000,258.00000,145.00000,199.00000,255.00000,1301.00000,199.00000,23.00000,49.00000,516.00000,106.00000,123.00000,502.00000,99.00000,199.00000,82.00000,202.00000
"9071","Ourense, Vilar  de Cruces",42.146281000000002,-7.656734000000000,38.00000,15.00000,5191.00000,58.00000,260.00000,121.00000,190.00000,71.00000,1087.00000,149.00000,22.00000,46.00000,416.00000,98.00000,98.00000,411.00000,64.00000,190.00000,95.00000,245.00000
"9072","Ourense, Vilar  de Cruces",42.146281000000002,-7.656734000000000,38.00000,15.00000,5191.00000,58.00000,260.00000,121.00000,190.00000,71.00000,1087.00000,149.00000,22.00000,46.00000,416.00000,98.00000,98.00000,411.00000,64.00000,190.00000,95.00000,245.00000
"9073","Ourense, Vilar  de Cruces",42.146281000000002,-7.656734000000000,38.00000,15.00000,5191.00000,58.00000,260.00000,121.00000,190.00000,71.00000,1087.00000,149.00000,22.00000,46.00000,416.00000,98.00000,98.00000,411.00000,64.00000,190.00000,95.00000,245.00000
"9074","Ourense, Vilar  de Cruces",42.146281000000002,-7.656734000000000,38.00000,15.00000,5191.00000,58.00000,260.00000,121.00000,190.00000,71.00000,1087.00000,149.00000,22.00000,46.00000,416.00000,98.00000,98.00000,411.00000,64.00000,190.00000,95.00000,245.00000
